Name,Link
"Queen's University Belfast

                12 courses",/university/qub
"Peoples' Friendship University of Russia (RUDN)

                12 courses",/university/rudn
"St. George's University

                12 courses",/university/sgu
"Stanford Medicine

                12 courses",/university/stanford-medicine
"Taylor's University

                12 courses",/university/taylor-my
"Eindhoven University of Technology

                12 courses",/university/tue
"Universidad ESAN

                12 courses",/university/uesan
"University of Houston System

                12 courses",/university/uhs
"Universitat de València

                12 courses",/university/valencia
"University of Waikato

                12 courses",/university/waikato
"The University of Warwick

                12 courses",/university/warwick
"Wellesley College

                12 courses",/university/wellesley
"Waikato Institute of Technology

                12 courses",/university/wintec
"Association of International Certified Professional Accountants

                11 courses",/university/aicpa
"Colorado State University

                11 courses",/university/csu
"University of Extremadura

                11 courses",/university/extremadura
"Communauté Université Grenoble Alpes

                11 courses",/university/grenoble-alpes
"Indian Institute of Technology Patna

                11 courses",/university/iit-patna
"University of Liège

                11 courses",/university/liege
"University of Liverpool

                11 courses",/university/liv
"Université de Lorraine

                11 courses",/university/lorraine
"Math at Andrews

                11 courses",/university/mathatandrews
"Osaka University

                11 courses",/university/osaka
"University of Pittsburgh

                11 courses",/university/pitt
"Royal Holloway, University of London

                11 courses",/university/royal-holloway
"Sapienza University of Rome

                11 courses",/university/sapienza
"Università di Torino

                11 courses",/university/torino
"Graz University of Technology

                11 courses",/university/tugraz
"Universidad Externado de Colombia

                11 courses",/university/ucolombia
"University of North Texas

                11 courses",/university/unt
"Université Panthéon-Assas - Paris II

                11 courses",/university/upaparis2
"University of the Basque Country

                10 courses",/university/basque-country
"Berkeley University of California

                10 courses",/university/berkeleyuc
"Embry-Riddle Aeronautical University

                10 courses",/university/erau
"Hanyang University

                10 courses",/university/hanyang
"University of Iceland

                10 courses",/university/iceland
"Indian Institute of Science Education and Research Bhopal

                10 courses",/university/iiser-bhopal
"Kasetsart University

                10 courses",/university/ku
"Université Montpellier 2

                10 courses",/university/um2
"Utrecht University

                10 courses",/university/utrecht
"West Virginia University

                10 courses",/university/wvu
"Anglia Ruskin University

                9 courses",/university/anglia-ruskin
"Université de Bordeaux

                9 courses",/university/bordeaux
"Université libre de Bruxelles

                9 courses",/university/bruxelles
"Hamad Bin Khalifa University

                9 courses",/university/hbku
"HESAM Université

                9 courses",/university/hesam
"Howard University

                9 courses",/university/howard
"Indraprastha Institute of Information Technology Delhi

                9 courses",/university/iiitd
"University of Lincoln

                9 courses",/university/lincoln
"London South Bank University

                9 courses",/university/lsbu
"London School of Economics and Political Science

                9 courses",/university/lse
"Manipur University

                9 courses",/university/manipur
"Université de Nantes

                9 courses",/university/nantes
"Newcastle University

                9 courses",/university/newcastle
"Norwegian University of Science and Technology

                9 courses",/university/ntnu
"Open Universiteit Nederland

                9 courses",/university/open-universiteit-nederland
"Trinity College

                9 courses",/university/trincoll
"University of Twente

                9 courses",/university/twente
"University of Law

                9 courses",/university/u-of-law
"University of Oslo

                9 courses",/university/uio
"Universidad Pontificia Bolivariana

                9 courses",/university/upb
"Pontificia Universidad Católica de Valparaíso

                9 courses",/university/valparaiso
"Victoria University of Wellington

                9 courses",/university/victoria-wellington
"Andrews University

                8 courses",/university/andrews
"University of Bristol

                8 courses",/university/bristol
"University of Burgundy

                8 courses",/university/burgundy
"Curtis Institute of Music

                8 courses",/university/curtis
"École Centrale Paris

                8 courses",/university/ecp
"Harvey Mudd College

                8 courses",/university/hmc
"Hat Yai University

                8 courses",/university/hu
"University of Hull

                8 courses",/university/hull
"Institut Français de la Mode

                8 courses",/university/ifmparis
"Université Jean Moulin Lyon 3

                8 courses",/university/jean-moulin
"Jai Narain Vyas University, Jodhpur

                8 courses",/university/jnyuji
"Koç University

                8 courses",/university/koc
"Université de Lille

                8 courses",/university/lille
"Manchester Metropolitan University

                8 courses",/university/manchester-metropolitan
"University of Northampton

                8 courses",/university/northampton
"Northern Michigan University

                8 courses",/university/northern-michigan
"Nanyang Technological University

                8 courses",/university/ntu
"University of Oxford

                8 courses",/university/oxford
"Pontificia Universidad Católica del Perú

                8 courses",/university/pucp
"Queen's University

                8 courses",/university/queens-university
"Relay Graduate School of Education

                8 courses",/university/relay
"School of the Art Institute of Chicago

                8 courses",/university/saic
"Samara University

                8 courses",/university/samara
"SOAS University of London

                8 courses",/university/soasuol
"Stellenbosch University

                8 courses",/university/stellenbosch
"Swinburne University of Technology

                8 courses",/university/sut
"Universidad Nebrija

                8 courses",/university/unebrija
"University of Southern Queensland

                8 courses",/university/usq
"University of Science and Technology of China

                8 courses",/university/ustc
"Vrije Universiteit Brussel

                8 courses",/university/vub
"Zurich University of Applied Sciences

                8 courses",/university/zhaw
"Aix Marseille Université

                7 courses",/university/aix-marseille
"University of Arizona

                7 courses",/university/arizona
"Cardiff University

                7 courses",/university/cardiff
"Colorado Community College System

                7 courses",/university/cccs
"Universidad EAFIT

                7 courses",/university/eafit
"eCornell

                7 courses",/university/ec
"National Law University Delhi

                7 courses",/university/national-law
"Universidad del Norte

                7 courses",/university/norte
"Palacký University, Olomouc

                7 courses",/university/palacky
"Universidad del Salvador

                7 courses",/university/salvador
"Santa Clara University

                7 courses",/university/scu
"Sripatum University

                7 courses",/university/spu
"TenarisUniversity

                7 courses",/university/tenaris
"Tufts University

                7 courses",/university/tufts
"University of London

                7 courses",/university/u-of-london
"Universidad Complutense de Madrid

                7 courses",/university/ucm
"Université de Liège

                7 courses",/university/ulg
"University of Ferrara

                7 courses",/university/unife
"University of Lausanne

                7 courses",/university/unil
"University of Brasilia

                7 courses",/university/university-of-brasilia
"University of Hyderabad

                7 courses",/university/uohi
"Ural Federal University

                7 courses",/university/urfu
"University Of The West Indies

                7 courses",/university/west-indies
"University of Wollongong

                7 courses",/university/wollongong
"University of Bergen

                6 courses",/university/bergen
"Universidad de Cádiz

                6 courses",/university/cadiz
"CNIT - City College of San Francisco

                6 courses",/university/cnit
"Central University of Kerala

                6 courses",/university/cuki
"University of Derby

                6 courses",/university/derby
"Durham University

                6 courses",/university/durham
"ESADE Business and Law School

                6 courses",/university/esade
"SUNY Empire State College

                6 courses",/university/esc
"Fontys Hogeschool ICT

                6 courses",/university/fontys-hogeschool
"Glion Institute of Higher Education

                6 courses",/university/glion
"Iowa State University

                6 courses",/university/iastate
"Indian Institute of Information Technology, Bangalore

                6 courses",/university/iiitb
"Indian Institute Of Management–Kozhikode (IIM–Kozhikode)

                6 courses",/university/iim%E2%80%93iozhikode
"University of Iowa

                6 courses",/university/iowa
"Juilliard

                6 courses",/university/juilliard
"Karlstad University

                6 courses",/university/kau
"Université Paris Lumières

                6 courses",/university/lumieres
"Marist College

                6 courses",/university/marist
"The University of Texas MD Anderson Cancer Center

                6 courses",/university/md-anderson
"Maejo University

                6 courses",/university/mju
"National Chiao Tung University

                6 courses",/university/nctu
"Universidad Autónoma de Occidente

                6 courses",/university/occidente
"O.P. Jindal Global University

                6 courses",/university/op-jindal
"Paris Diderot University

                6 courses",/university/paris-diderot
"Université Paris SUD

                6 courses",/university/paris-sud
"Prince of Songkla University

                6 courses",/university/psuniv
"Prince of Songkla University

                6 courses",/university/psuthai
"Ravensbourne University London

                6 courses",/university/ravensbourne
"Shanghai International Studies University

                6 courses",/university/shisu
"Stanford Graduate School of Education

                6 courses",/university/stanford-graduate-education
"The New School

                6 courses",/university/tns
"Tohoku University

                6 courses",/university/tohoku
"Eberhard Karls University of Tübingen

                6 courses",/university/tubingen
"United Arab Emirates University

                6 courses",/university/uaeu
"Universidad Católica de Murcia

                6 courses",/university/ucam
"Universidad de Vic - Universidad Central de Cataluña

                6 courses",/university/udvic
"Universidad de Malaga

                6 courses",/university/uma
"Universidad Nacional de Colombia

                6 courses",/university/unal
"Universidad del País Vasco/ Euskal Herriko Unibertsitatea

                6 courses",/university/unibertsitatea
"University of Foggia

                6 courses",/university/university-of-foggia
"University of Oregon

                6 courses",/university/uo
"University of Vigo

                6 courses",/university/vigo
"Weizmann Institute of Science

                6 courses",/university/weizmann
"American Institute of Business and Economics

                5 courses",/university/aibec
"Avans University of Applied Sciences

                5 courses",/university/avans-applied-sciences
"University of Bayreuth

                5 courses",/university/bayreuth
"Ball State University

                5 courses",/university/bsu
"University of Canberra

                5 courses",/university/canberra
"Pontifical Catholic University of Valparaíso

                5 courses",/university/catholic-university-valparaiso
"Charles Darwin University

                5 courses",/university/charles-darwin
"Concordia University Wisconsin

                5 courses",/university/cuw
"ESCP Europe

                5 courses",/university/escp
"European University at St. Petersburg

                5 courses",/university/european-university-stpetersburg
"Florida International University

                5 courses",/university/fiu
"Fundación Telefónica

                5 courses",/university/fundacaotelefonica
"Hanken School of Economics

                5 courses",/university/hanken
"Indian Institute of Technology Mandi

                5 courses",/university/iit-mandi
"IIT Palakkad

                5 courses",/university/iitpkd
"Inha University

                5 courses",/university/inha
"Insper

                5 courses",/university/insper
"Lakeland College

                5 courses",/university/lakelandcollege
"London College of Fashion

                5 courses",/university/london-college-fashion
"McGill University

                5 courses",/university/mcgill
"Mahatma Gandhi College

                5 courses",/university/mgci
"Madurai Kamaraj University,  Madurai, Tamil Nadu

                5 courses",/university/mkumi
"Murdoch University

                5 courses",/university/murdoch
"Nankai University

                5 courses",/university/nankai
"North Carolina State University

                5 courses",/university/ncsu
"Nakhon Ratchasima Rajabhat University

                5 courses",/university/nrru
"Netaji Subhas Open University, Kolkata

                5 courses",/university/nsoui
"Osmania University

                5 courses",/university/oui
"Pace University

                5 courses",/university/pace
"Université Paris Descartes

                5 courses",/university/paris-descartes
"Universite Perpignan Via Domitia

                5 courses",/university/perpignan-domitia
"Pohang University of Science and Technology

                5 courses",/university/postech
"Ringling College of Art + Design

                5 courses",/university/ringling
"Ritsumeikan University

                5 courses",/university/ritsumei
"Rangsit University

                5 courses",/university/rsuniv
"Sberbank Corporate University

                5 courses",/university/sberbank-university
"Surat Thani Rajabhat University

                5 courses",/university/sru
"St.Mary's College, Thrissur

                5 courses",/university/st-marys
"University Of Surrey

                5 courses",/university/surrey
"Syracuse University

                5 courses",/university/syracuse
"Universidad de Alcalá

                5 courses",/university/uah
"University of Calicut

                5 courses",/university/uici
"University of Kentucky

                5 courses",/university/uk
"Université de Montpellier

                5 courses",/university/umontpellier
"University of Milano-Bicocca

                5 courses",/university/university-milano-bicocca
"University of Genova

                5 courses",/university/university-of-genova
"Université Pierre et Marie CURIE

                5 courses",/university/upmc
"University of South Florida

                5 courses",/university/usf
"Aalto University

                4 courses",/university/aalto
"Abertay University

                4 courses",/university/abertay
"AgroParisTech

                4 courses",/university/agro-paris-tech
"Agrocampus Ouest

                4 courses",/university/agrocampus-ouest
"Arab Open University

                4 courses",/university/arab-open-university
"AUB: American University of Beirut

                4 courses",/university/aub
"Auckland University of Technology

                4 courses",/university/aut
"Barry University

                4 courses",/university/barry
"Université de Bretagne Occidentale

                4 courses",/university/bretagne-occidentale
"Columbus College of Art & Design

                4 courses",/university/ccad
"Chartered College of Teaching

                4 courses",/university/chartered-teaching
"Universidad Cooperativa de Colombia

                4 courses",/university/cooperativa-colombia
"Chaiyaphum Rajabhat University

                4 courses",/university/cpru
"Dalhousie University

                4 courses",/university/dalhousie
"Edge Hill University

                4 courses",/university/edgehill
"École des Ponts Paritech

                4 courses",/university/enpc
"École Pratique des Hautes Études

                4 courses",/university/ephe
"Florida State University

                4 courses",/university/fsu
"Hamilton College

                4 courses",/university/hamilton
"Indian Institute of Technology (BHU) Varanasi

                4 courses",/university/iit-bhu
"Immanuel Kant Baltic Federal University

                4 courses",/university/ikbfu
"Universitat de les Illes Balears

                4 courses",/university/illes-balears
"Korea University

                4 courses",/university/korea
"King Saud University

                4 courses",/university/ksu-sa
"Universitat de Lleida

                4 courses",/university/lleida
"Loughborough University

                4 courses",/university/loughborough
"Université de Lyon

                4 courses",/university/lyon
"University of Maryland, Baltimore

                4 courses",/university/maryland-baltimore
"National University of Science and Technology MISiS

                4 courses",/university/misis
"Missouri State University

                4 courses",/university/missouristate
"Match Teacher Residency

                4 courses",/university/mtr
"Antonio de Nebrija University

                4 courses",/university/nebrija
"National Law School of India University

                4 courses",/university/nls
"New Mexico Highlands University

                4 courses",/university/nmhu
"Nottingham Trent University

                4 courses",/university/nottingham-trent
"National Tsing Hua University

                4 courses",/university/nthu
"National University of Ireland, Galway

                4 courses",/university/nui-galway
"Oregon State University

                4 courses",/university/oregon%20state
"Mercy College Palakkad

                4 courses",/university/palakkad
"Parkland College

                4 courses",/university/parkland
"Institución Universitaria Pascual Bravo

                4 courses",/university/pascual-bravo
"Pacific Northwest College of Art

                4 courses",/university/pnca
"Polytechnique Montréal

                4 courses",/university/polytechnique-montreal
"Pompeu Fabra University

                4 courses",/university/pompeu-fabra
"Pontifícia Universidade Católica do Rio Grande do Sul

                4 courses",/university/pucrs
"Punjabi University

                4 courses",/university/punjabi
"Rabindra Bharati University

                4 courses",/university/rabindra
"Rensselaer Polytechnic Institute

                4 courses",/university/rpi
"Shri Lal Bahadur Shastri National Sanskrit University

                4 courses",/university/rsvi
"Ryerson University

                4 courses",/university/ryerson
"Università Cattolica del Sacro Cuore

                4 courses",/university/sacro-cuore
"Seattle Central Community College

                4 courses",/university/sccc
"Southern College of Technology

                4 courses",/university/sct
"San Diego State University

                4 courses",/university/sdsu
"Suan Dusit University

                4 courses",/university/sdu
